"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"28-Oct-2022","EQ","236.10","240.90","231.05","236.05","236.60","236.95","236.56","298.65","179.85",8137140,"1,924,920,030.55",65272
"27-Oct-2022","EQ","222.75","240.00","218.80","222.75","234.80","236.05","232.54","298.65","179.85",14884992,"3,461,364,164.35",107607
"25-Oct-2022","EQ","217.45","224.65","214.75","214.75","222.45","222.75","220.40","298.65","179.85",9472668,"2,087,783,775.25",87543
"24-Oct-2022","EQ","205.00","224.50","205.00","199.75","219.25","214.75","212.45","298.65","179.85",4490729,"954,075,525.95",31219
"21-Oct-2022","EQ","193.00","202.70","192.75","192.70","201.00","199.75","198.88","298.65","179.85",7204904,"1,432,909,592.00",42654
"20-Oct-2022","EQ","192.60","193.70","190.90","193.30","192.65","192.70","192.54","298.65","179.85",962804,"185,375,735.35",8601
"19-Oct-2022","EQ","196.95","197.10","192.55","195.50","192.95","193.30","194.92","298.65","179.85",605390,"118,003,415.60",9820
"18-Oct-2022","EQ","194.45","197.20","194.20","192.50","195.30","195.50","195.99","298.65","179.85",2025585,"397,000,694.20",16049
"17-Oct-2022","EQ","192.00","193.45","190.15","191.40","193.30","192.50","192.34","298.65","179.85",1420871,"273,285,203.00",12212
"14-Oct-2022","EQ","196.90","198.45","190.60","193.70","191.75","191.40","194.08","298.65","179.85",1512366,"293,513,349.80",15198
"13-Oct-2022","EQ","192.95","195.95","191.00","192.55","193.60","193.70","192.79","298.65","179.85",1847991,"356,273,283.15",18124
"12-Oct-2022","EQ","192.60","193.90","189.50","191.85","193.00","192.55","191.55","298.65","179.85",2399068,"459,534,109.20",29952
"11-Oct-2022","EQ","195.60","195.90","190.80","195.50","191.00","191.85","192.94","298.65","179.85",2017020,"389,173,134.80",27774
"10-Oct-2022","EQ","196.70","196.70","191.00","200.00","196.10","195.50","194.11","298.65","179.85",3723516,"722,783,898.50",26337
"07-Oct-2022","EQ","200.00","201.25","198.05","200.65","200.85","200.00","199.62","298.65","178.10",1099295,"219,437,417.60",9993
"06-Oct-2022","EQ","201.80","203.95","199.70","198.25","200.30","200.65","201.51","298.65","178.10",1474459,"297,113,322.50",15661
"04-Oct-2022","EQ","196.65","200.15","195.60","193.10","198.35","198.25","197.43","298.65","178.10",1644405,"324,654,960.85",11999
"03-Oct-2022","EQ","196.70","196.95","192.05","195.65","193.15","193.10","194.73","298.65","178.10",2582309,"502,842,905.40",24172
"30-Sep-2022","EQ","193.90","197.40","191.05","194.45","195.95","195.65","194.49","298.65","162.05",3468630,"674,629,993.60",25862
"29-Sep-2022","EQ","201.80","202.80","191.80","195.30","195.90","194.45","196.04","298.65","162.05",4443617,"871,137,651.40",35050
"28-Sep-2022","EQ","194.00","199.30","191.60","195.45","194.70","195.30","196.21","298.65","162.05",1546390,"303,411,291.65",14060
